header,class,gene,mechanism,group
AAB41701|FEATURES|argannot|aminoglycoside|AAC(2')-Id|antibiotic_inactivation|1,aminoglycoside,AAC(2')-Id,antibiotic_inactivation,1
WP_010908954|FEATURES|argannot|aminoglycoside|AAC(2')-Ic|antibiotic_inactivation|1,aminoglycoside,AAC(2')-Ic,antibiotic_inactivation,1
CAI46944|FEATURES|argannot|aminoglycoside|AAC(3)-Ia|antibiotic_inactivation|1,aminoglycoside,AAC(3)-Ia,antibiotic_inactivation,1
CAA39184|FEATURES|argannot|aminoglycoside|AAC(3)-IIIa|antibiotic_inactivation|1,aminoglycoside,AAC(3)-IIIa,antibiotic_inactivation,1
AAA25682|FEATURES|argannot|aminoglycoside|AAC(3)-IIIb|antibiotic_inactivation|1,aminoglycoside,AAC(3)-IIIb,antibiotic_inactivation,1
AAA25683|FEATURES|argannot|aminoglycoside|AAC(3)-IIIc|antibiotic_inactivation|1,aminoglycoside,AAC(3)-IIIc,antibiotic_inactivation,1
CAA35913.1|FEATURES|argannot|aminoglycoside|AAC(3)-IIc|antibiotic_inactivation|1,aminoglycoside,AAC(3)-IIc,antibiotic_inactivation,1
AAA26548.1|FEATURES|argannot|aminoglycoside|AAC(3)-IIb|antibiotic_inactivation|1,aminoglycoside,AAC(3)-IIb,antibiotic_inactivation,1
CAA38525|FEATURES|argannot|aminoglycoside|AAC(3)-IIc|antibiotic_inactivation|1,aminoglycoside,AAC(3)-IIc,antibiotic_inactivation,1
ABS70977.1|FEATURES|argannot|aminoglycoside|AAC(3)-IIa|antibiotic_inactivation|1,aminoglycoside,AAC(3)-IIa,antibiotic_inactivation,1
ABS70978|FEATURES|argannot|aminoglycoside|AAC(3)-IIc|antibiotic_inactivation|1,aminoglycoside,AAC(3)-IIc,antibiotic_inactivation,1
CAA25642|FEATURES|argannot|aminoglycoside|AAC(3)-IVa|antibiotic_inactivation|1,aminoglycoside,AAC(3)-IVa,antibiotic_inactivation,1
AAA25334|FEATURES|argannot|aminoglycoside|AAC(3)-IXa|antibiotic_inactivation|1,aminoglycoside,AAC(3)-IXa,antibiotic_inactivation,1
CAA33850|FEATURES|argannot|aminoglycoside|AAC(3)-Ia|antibiotic_inactivation|1,aminoglycoside,AAC(3)-Ia,antibiotic_inactivation,1
AAA88422|FEATURES|argannot|aminoglycoside|AAC(3)-Ib|antibiotic_inactivation|1,aminoglycoside,AAC(3)-Ib,antibiotic_inactivation,1
AAL82588|FEATURES|argannot|aminoglycoside|AAC(3)-Ib/AAC(6')-Ib''|antibiotic_inactivation|1,aminoglycoside,AAC(3)-Ib/AAC(6')-Ib'',antibiotic_inactivation,1
CAD53575|FEATURES|argannot|aminoglycoside|AAC(3)-Ic|antibiotic_inactivation|1,aminoglycoside,AAC(3)-Ic,antibiotic_inactivation,1
BAD00738|FEATURES|argannot|aminoglycoside|AAC(3)-Id|antibiotic_inactivation|1,aminoglycoside,AAC(3)-Id,antibiotic_inactivation,1
AAX16011|FEATURES|argannot|aminoglycoside|AAC(3)-Ib|antibiotic_inactivation|1,aminoglycoside,AAC(3)-Ib,antibiotic_inactivation,1
ABD81100|FEATURES|argannot|aminoglycoside|AAC(3)-Id|antibiotic_inactivation|1,aminoglycoside,AAC(3)-Id,antibiotic_inactivation,1
ABL71428|FEATURES|argannot|aminoglycoside|AAC(3)-Id|antibiotic_inactivation|1,aminoglycoside,AAC(3)-Id,antibiotic_inactivation,1
ABF52347|FEATURES|argannot|aminoglycoside|AAC(3)-Ib|antibiotic_inactivation|1,aminoglycoside,AAC(3)-Ib,antibiotic_inactivation,1
AAA26685|FEATURES|argannot|aminoglycoside|AAC(3)-VIIIa|antibiotic_inactivation|1,aminoglycoside,AAC(3)-VIIIa,antibiotic_inactivation,1
AAA88552|FEATURES|argannot|aminoglycoside|AAC(3)-VIIa|antibiotic_inactivation|1,aminoglycoside,AAC(3)-VIIa,antibiotic_inactivation,1
AAA16194|FEATURES|argannot|aminoglycoside|AAC(3)-VIa|antibiotic_inactivation|1,aminoglycoside,AAC(3)-VIa,antibiotic_inactivation,1
BAA78619|FEATURES|argannot|aminoglycoside|AAC(3)-Xa|antibiotic_inactivation|1,aminoglycoside,AAC(3)-Xa,antibiotic_inactivation,1
ABC17631|FEATURES|argannot|aminoglycoside|AAC(6')-29b|antibiotic_inactivation|1,aminoglycoside,AAC(6')-29b,antibiotic_inactivation,1
CAG26810|FEATURES|argannot|aminoglycoside|AAC(6')-31|antibiotic_inactivation|1,aminoglycoside,AAC(6')-31,antibiotic_inactivation,1
ABR10839|FEATURES|argannot|aminoglycoside|AAC(6')-32|antibiotic_inactivation|1,aminoglycoside,AAC(6')-32,antibiotic_inactivation,1
ACT99627|FEATURES|argannot|aminoglycoside|AAC(6')-33|antibiotic_inactivation|1,aminoglycoside,AAC(6')-33,antibiotic_inactivation,1
AAP43642.1|FEATURES|argannot|aminoglycoside|AAC(6')-I30|antibiotic_inactivation|1,aminoglycoside,AAC(6')-I30,antibiotic_inactivation,1
AAA25688.1|FEATURES|argannot|aminoglycoside|AAC(6')-IIa|antibiotic_inactivation|1,aminoglycoside,AAC(6')-IIa,antibiotic_inactivation,1
AAA25680|FEATURES|argannot|aminoglycoside|AAC(6')-IIb|antibiotic_inactivation|1,aminoglycoside,AAC(6')-IIb,antibiotic_inactivation,1
AAD46626.1|FEATURES|argannot|aminoglycoside|AAC(6')-IIc|antibiotic_inactivation|1,aminoglycoside,AAC(6')-IIc,antibiotic_inactivation,1
AAA98298.1|FEATURES|argannot|aminoglycoside|AAC(6')-Ia|antibiotic_inactivation|1,aminoglycoside,AAC(6')-Ia,antibiotic_inactivation,1
NP_460578|FEATURES|argannot|aminoglycoside|AAC(6')-Iaa|antibiotic_inactivation|0,aminoglycoside,AAC(6')-Iaa,antibiotic_inactivation,0
BAD12078|FEATURES|argannot|aminoglycoside|AAC(6')-Iad|antibiotic_inactivation|1,aminoglycoside,AAC(6')-Iad,antibiotic_inactivation,1
BAD14386|FEATURES|argannot|aminoglycoside|AAC(6')-Iae|antibiotic_inactivation|1,aminoglycoside,AAC(6')-Iae,antibiotic_inactivation,1
ACI28880|FEATURES|argannot|aminoglycoside|AAC(6')-Iai|antibiotic_inactivation|1,aminoglycoside,AAC(6')-Iai,antibiotic_inactivation,1
AAA69747.1|FEATURES|argannot|aminoglycoside|AAC(6')-Ib|antibiotic_inactivation|1,aminoglycoside,AAC(6')-Ib,antibiotic_inactivation,1
AAA26549|FEATURES|argannot|aminoglycoside|AAC(6')-Ic|antibiotic_inactivation|1,aminoglycoside,AAC(6')-Ic,antibiotic_inactivation,1
CAA31139.1|FEATURES|argannot|aminoglycoside|VN23_18795|antibiotic_inactivation|1,aminoglycoside,VN23_18795,antibiotic_inactivation,1
CAA39038|FEATURES|argannot|aminoglycoside|AAC(6')-If|antibiotic_inactivation|1,aminoglycoside,AAC(6')-If,antibiotic_inactivation,1
AAA21889|FEATURES|argannot|aminoglycoside|AAC(6')-Ig|antibiotic_inactivation|1,aminoglycoside,AAC(6')-Ig,antibiotic_inactivation,1
AAC41391|FEATURES|argannot|aminoglycoside|AAC(6')-Ih|antibiotic_inactivation|1,aminoglycoside,AAC(6')-Ih,antibiotic_inactivation,1
AAB63533|FEATURES|argannot|aminoglycoside|AAC(6')-Ii|antibiotic_inactivation|1,aminoglycoside,AAC(6')-Ii,antibiotic_inactivation,1
AAC41392|FEATURES|argannot|aminoglycoside|AAC(6')-Ij|antibiotic_inactivation|1,aminoglycoside,AAC(6')-Ij,antibiotic_inactivation,1
AAA87229|FEATURES|argannot|aminoglycoside|AAC(6')-Ik|antibiotic_inactivation|1,aminoglycoside,AAC(6')-Ik,antibiotic_inactivation,1
CAA91010|FEATURES|argannot|aminoglycoside|AAC(6')-Ip|antibiotic_inactivation|1,aminoglycoside,AAC(6')-Ip,antibiotic_inactivation,1
AAK63041|FEATURES|argannot|aminoglycoside|AAC(6')-Ip|antibiotic_inactivation|1,aminoglycoside,AAC(6')-Ip,antibiotic_inactivation,1
AAC25500|FEATURES|argannot|aminoglycoside|AAC(6')-Iq|antibiotic_inactivation|1,aminoglycoside,AAC(6')-Iq,antibiotic_inactivation,1
AAD03490|FEATURES|argannot|aminoglycoside|AAC(6')-Ir|antibiotic_inactivation|1,aminoglycoside,AAC(6')-Ir,antibiotic_inactivation,1
AAD03491|FEATURES|argannot|aminoglycoside|AAC(6')-Is|antibiotic_inactivation|1,aminoglycoside,AAC(6')-Is,antibiotic_inactivation,1
AAD03492|FEATURES|argannot|aminoglycoside|AAC(6')-It|antibiotic_inactivation|1,aminoglycoside,AAC(6')-It,antibiotic_inactivation,1
AAD03493|FEATURES|argannot|aminoglycoside|AAC(6')-Iu|antibiotic_inactivation|1,aminoglycoside,AAC(6')-Iu,antibiotic_inactivation,1
AAD03494|FEATURES|argannot|aminoglycoside|AAC(6')-Iv|antibiotic_inactivation|1,aminoglycoside,AAC(6')-Iv,antibiotic_inactivation,1
AAD03495|FEATURES|argannot|aminoglycoside|AAC(6')-Iw|antibiotic_inactivation|1,aminoglycoside,AAC(6')-Iw,antibiotic_inactivation,1
AAF03531|FEATURES|argannot|aminoglycoside|AAC(6')-Iy|antibiotic_inactivation|0,aminoglycoside,AAC(6')-Iy,antibiotic_inactivation,0
AAD52985|FEATURES|argannot|aminoglycoside|AAC(6')-Iz|antibiotic_inactivation|1,aminoglycoside,AAC(6')-Iz,antibiotic_inactivation,1
ABV25540|FEATURES|argannot|aminoglycoside|aac(6')-ib-cr|antibiotic_inactivation|1,aminoglycoside,aac(6')-ib-cr,antibiotic_inactivation,1
AAL10408|FEATURES|argannot|aminoglycoside|AAC(6')-Ib8|antibiotic_inactivation|1,aminoglycoside,AAC(6')-Ib8,antibiotic_inactivation,1
AAN41429|FEATURES|argannot|aminoglycoside|AAC(6')-29b|antibiotic_inactivation|1,aminoglycoside,AAC(6')-29b,antibiotic_inactivation,1
AEA07977|FEATURES|argannot|aminoglycoside|AAC(6')-Iaf|antibiotic_inactivation|1,aminoglycoside,AAC(6')-Iaf,antibiotic_inactivation,1
AFK93816|FEATURES|argannot|aminoglycoside|Ant3Ia|antibiotic_inactivation|1,aminoglycoside,Ant3Ia,antibiotic_inactivation,1
AAB59083.4|FEATURES|argannot|aminoglycoside|Ant3Ia|antibiotic_inactivation|1,aminoglycoside,Ant3Ia,antibiotic_inactivation,1
AAL36430|FEATURES|argannot|aminoglycoside|aadA6/aadA10|antibiotic_inactivation|1,aminoglycoside,aadA6/aadA10,antibiotic_inactivation,1
CAD99015|FEATURES|argannot|aminoglycoside|aadA11|antibiotic_inactivation|1,aminoglycoside,aadA11,antibiotic_inactivation,1
AAV49760|FEATURES|argannot|aminoglycoside|aadA12|antibiotic_inactivation|1,aminoglycoside,aadA12,antibiotic_inactivation,1
AAV49321|FEATURES|argannot|aminoglycoside|aadA13|antibiotic_inactivation|1,aminoglycoside,aadA13,antibiotic_inactivation,1
CAI57696|FEATURES|argannot|aminoglycoside|aadA14|antibiotic_inactivation|1,aminoglycoside,aadA14,antibiotic_inactivation,1
ABD58917|FEATURES|argannot|aminoglycoside|aadA15|antibiotic_inactivation|1,aminoglycoside,aadA15,antibiotic_inactivation,1
ACF17980.1|FEATURES|argannot|aminoglycoside|aadA16|antibiotic_inactivation|1,aminoglycoside,aadA16,antibiotic_inactivation,1
ACK43806|FEATURES|argannot|aminoglycoside|aadA17|antibiotic_inactivation|1,aminoglycoside,aadA17,antibiotic_inactivation,1
CAA48308.1|FEATURES|argannot|aminoglycoside|aadA|antibiotic_inactivation|1,aminoglycoside,aadA,antibiotic_inactivation,1
AAN87151|FEATURES|argannot|aminoglycoside|aadA21|antibiotic_inactivation|1,aminoglycoside,aadA21,antibiotic_inactivation,1
CAK12750|FEATURES|argannot|aminoglycoside|HMPREF9349_04665|antibiotic_inactivation|1,aminoglycoside,HMPREF9349_04665,antibiotic_inactivation,1
ADM53774.1|FEATURES|argannot|aminoglycoside|aadA24|antibiotic_inactivation|1,aminoglycoside,aadA24,antibiotic_inactivation,1
AAC14728.1|FEATURES|argannot|aminoglycoside|aadA3|antibiotic_inactivation|1,aminoglycoside,aadA3,antibiotic_inactivation,1
AAN34365.1|FEATURES|CARD|aminoglycoside|aadA4|antibiotic_inactivation|1,aminoglycoside,aadA4,antibiotic_inactivation,1
AAF17880.1|FEATURES|argannot|aminoglycoside|aadA5|antibiotic_inactivation|1,aminoglycoside,aadA5,antibiotic_inactivation,1
AAD54217|FEATURES|argannot|aminoglycoside|aadA6|antibiotic_inactivation|1,aminoglycoside,aadA6,antibiotic_inactivation,1
AAF44098|FEATURES|argannot|aminoglycoside|aadA7|antibiotic_inactivation|1,aminoglycoside,aadA7,antibiotic_inactivation,1
AAK69614|FEATURES|argannot|aminoglycoside|aadA8|antibiotic_inactivation|1,aminoglycoside,aadA8,antibiotic_inactivation,1
CAJ13568|FEATURES|argannot|aminoglycoside|aadA8b|antibiotic_inactivation|1,aminoglycoside,aadA8b,antibiotic_inactivation,1
CAA24595|FEATURES|argannot|bacitracin|uppP|antibiotic_inactivation|0,bacitracin,uppP,antibiotic_inactivation,0
CAD12230.1|FEATURES|argannot|aminoglycoside|aadA9|antibiotic_inactivation|1,aminoglycoside,aadA9,antibiotic_inactivation,1
AAA16527.1|FEATURES|argannot|aminoglycoside|aad9|antibiotic_inactivation|1,aminoglycoside,aad9,antibiotic_inactivation,1
AAF85647.1|FEATURES|argannot|aminoglycoside|AadD|antibiotic_inactivation|1,aminoglycoside,AadD,antibiotic_inactivation,1
CCC83993.1|FEATURES|argannot|aminoglycoside|aadE|antibiotic_inactivation|1,aminoglycoside,aadE,antibiotic_inactivation,1
AEI42793|FEATURES|argannot|aminoglycoside|aadK|antibiotic_inactivation|1,aminoglycoside,aadK,antibiotic_inactivation,1
AAA25717|FEATURES|argannot|aminoglycoside|ANT(4')-IIa|antibiotic_inactivation|1,aminoglycoside,ANT(4')-IIa,antibiotic_inactivation,1
AAM76670|FEATURES|argannot|aminoglycoside|ANT(4')-IIb|antibiotic_inactivation|1,aminoglycoside,ANT(4')-IIb,antibiotic_inactivation,1
CAD44606.1|FEATURES|argannot|aminoglycoside|ANT(4')-Ia|antibiotic_inactivation|1,aminoglycoside,ANT(4')-Ia,antibiotic_inactivation,1
AAK62560|FEATURES|argannot|aminoglycoside|aad(6)|antibiotic_inactivation|1,aminoglycoside,aad(6),antibiotic_inactivation,1
CBH51824.1|FEATURES|argannot|aminoglycoside|ANT(6)-Ib|antibiotic_inactivation|1,aminoglycoside,ANT(6)-Ib,antibiotic_inactivation,1
AAG13458|FEATURES|argannot|aminoglycoside|APH(2'')-IIa|antibiotic_inactivation|1,aminoglycoside,APH(2'')-IIa,antibiotic_inactivation,1
AAB49832|FEATURES|argannot|aminoglycoside|APH(2'')-IIIa|antibiotic_inactivation|1,aminoglycoside,APH(2'')-IIIa,antibiotic_inactivation,1
AAX38178|FEATURES|argannot|aminoglycoside|APH(2'')-Ie|antibiotic_inactivation|1,aminoglycoside,APH(2'')-Ie,antibiotic_inactivation,1
ACN81017|FEATURES|argannot|aminoglycoside|APH(3')-Ia|antibiotic_inactivation|1,aminoglycoside,APH(3')-Ia,antibiotic_inactivation,1
BAF93086|FEATURES|argannot|aminoglycoside|strA|antibiotic_inactivation|1,aminoglycoside,strA,antibiotic_inactivation,1
CAA24789.1|FEATURES|argannot|aminoglycoside|APH(3')-IIIa|antibiotic_inactivation|1,aminoglycoside,APH(3')-IIIa,antibiotic_inactivation,1
CAA62365|FEATURES|argannot|aminoglycoside|APH(3')-IIb|antibiotic_inactivation|1,aminoglycoside,APH(3')-IIb,antibiotic_inactivation,1
ADQ43421|FEATURES|argannot|aminoglycoside|APH(3')-IIc|antibiotic_inactivation|1,aminoglycoside,APH(3')-IIc,antibiotic_inactivation,1
CAA27061|FEATURES|argannot|aminoglycoside|APH(3')-IVa|antibiotic_inactivation|1,aminoglycoside,APH(3')-IVa,antibiotic_inactivation,1
AES85952|FEATURES|argannot|aminoglycoside|APH(3')-Ia|antibiotic_inactivation|1,aminoglycoside,APH(3')-Ia,antibiotic_inactivation,1
CAA88266.1|FEATURES|argannot|aminoglycoside|Aph3Ic|antibiotic_inactivation|1,aminoglycoside,Aph3Ic,antibiotic_inactivation,1
AAG11411|FEATURES|argannot|aminoglycoside|AC230_04535|antibiotic_inactivation|1,aminoglycoside,AC230_04535,antibiotic_inactivation,1
AAA76822|FEATURES|argannot|aminoglycoside|APH(3')-VIIa|antibiotic_inactivation|1,aminoglycoside,APH(3')-VIIa,antibiotic_inactivation,1
AEK25612|FEATURES|argannot|aminoglycoside|T630_4108|antibiotic_inactivation|1,aminoglycoside,T630_4108,antibiotic_inactivation,1
CAF29483|FEATURES|argannot|aminoglycoside|APH(3')-VIa|antibiotic_inactivation|1,aminoglycoside,APH(3')-VIa,antibiotic_inactivation,1
AAB03856|FEATURES|argannot|aminoglycoside|AC230_04535|antibiotic_inactivation|0,aminoglycoside,AC230_04535,antibiotic_inactivation,0
AAC32025|FEATURES|argannot|aminoglycoside|APH(3')-Vb|antibiotic_inactivation|1,aminoglycoside,APH(3')-Vb,antibiotic_inactivation,1
AAB21326|FEATURES|argannot|aminoglycoside|APH(3')-Vc|antibiotic_inactivation|1,aminoglycoside,APH(3')-Vc,antibiotic_inactivation,1
CAD91341|FEATURES|argannot|aminoglycoside|APH(3')-IIa|antibiotic_inactivation|1,aminoglycoside,APH(3')-IIa,antibiotic_inactivation,1
CAA24743.1|FEATURES|argannot|aminoglycoside|APH(4)-Ia|antibiotic_inactivation|1,aminoglycoside,APH(4)-Ia,antibiotic_inactivation,1
AAX82592|FEATURES|argannot|aminoglycoside|APH(6)-Ia|antibiotic_inactivation|1,aminoglycoside,APH(6)-Ia,antibiotic_inactivation,1
CAA29136|FEATURES|argannot|aminoglycoside|APH(6)-Ib|antibiotic_inactivation|1,aminoglycoside,APH(6)-Ib,antibiotic_inactivation,1
EFI05284|FEATURES|argannot|aminoglycoside|APH(4)-Ia|antibiotic_inactivation|0,aminoglycoside,APH(4)-Ia,antibiotic_inactivation,0
AAB58447.1|FEATURES|argannot|aminoglycoside|APH(9)-Ia|antibiotic_inactivation|1,aminoglycoside,APH(9)-Ia,antibiotic_inactivation,1
AAD45541|FEATURES|argannot|aminoglycoside|APH(6)-Ib|antibiotic_inactivation|0,aminoglycoside,APH(6)-Ib,antibiotic_inactivation,0
CBL58181.1|FEATURES|argannot|aminoglycoside|apmA|antibiotic_inactivation|1,aminoglycoside,apmA,antibiotic_inactivation,1
AAP50754|FEATURES|argannot|aminoglycoside|rmtB|antibiotic_target_alteration|1,aminoglycoside,rmtB,antibiotic_target_alteration,1
BAU61743|FEATURES|argannot|aminoglycoside|npmA|antibiotic_target_alteration|1,aminoglycoside,npmA,antibiotic_target_alteration,1
BAD12551|FEATURES|argannot|aminoglycoside|rmtA|antibiotic_target_alteration|1,aminoglycoside,rmtA,antibiotic_target_alteration,1
BAC81971.1|FEATURES|argannot|aminoglycoside|rmtB|antibiotic_target_alteration|1,aminoglycoside,rmtB,antibiotic_target_alteration,1
AFC75738|FEATURES|argannot|aminoglycoside|rmtB|antibiotic_target_alteration|1,aminoglycoside,rmtB,antibiotic_target_alteration,1
BAE48305|FEATURES|argannot|aminoglycoside|rmtC|antibiotic_target_alteration|1,aminoglycoside,rmtC,antibiotic_target_alteration,1
ABJ53409|FEATURES|argannot|aminoglycoside|rmtD|antibiotic_target_alteration|1,aminoglycoside,rmtD,antibiotic_target_alteration,1
ADW66527|FEATURES|argannot|aminoglycoside|rmtD|antibiotic_target_alteration|1,aminoglycoside,rmtD,antibiotic_target_alteration,1
ADA63498|FEATURES|argannot|aminoglycoside|rmtB|antibiotic_target_alteration|1,aminoglycoside,rmtB,antibiotic_target_alteration,1
AFJ11385|FEATURES|argannot|aminoglycoside|rmtF|antibiotic_target_alteration|1,aminoglycoside,rmtF,antibiotic_target_alteration,1
AGE00988|FEATURES|argannot|aminoglycoside|rmtG|antibiotic_target_alteration|1,aminoglycoside,rmtG,antibiotic_target_alteration,1
AGH19769|FEATURES|argannot|aminoglycoside|rmtH|antibiotic_target_alteration|1,aminoglycoside,rmtH,antibiotic_target_alteration,1
CAA35921.1|FEATURES|argannot|streptothricin|sat-1|antibiotic_inactivation|1,streptothricin,sat-1,antibiotic_inactivation,1
CAA88265.1|FEATURES|argannot|aminoglycoside|sat-3|antibiotic_inactivation|1,aminoglycoside,sat-3,antibiotic_inactivation,1
CAC29201|FEATURES|argannot|aminoglycoside|sat-4|antibiotic_inactivation|1,aminoglycoside,sat-4,antibiotic_inactivation,1
CAA26428.1|FEATURES|argannot|aminoglycoside|aad9Ib|antibiotic_inactivation|1,aminoglycoside,aad9Ib,antibiotic_inactivation,1
AAK68631|FEATURES|argannot|aminoglycoside|APH(6)-Ic|antibiotic_inactivation|1,aminoglycoside,APH(6)-Ic,antibiotic_inactivation,1
CAA63519.1|FEATURES|argannot|aminoglycoside|str|antibiotic_inactivation|1,aminoglycoside,str,antibiotic_inactivation,1
X57709|FEATURES|argannot|aminoglycoside|APH(3')-IIa|antibiotic_inactivation|1,aminoglycoside,APH(3')-IIa,antibiotic_inactivation,1
AAA26412|FEATURES|argannot|aminoglycoside|APH(3')-Ib|antibiotic_inactivation|1,aminoglycoside,APH(3')-Ib,antibiotic_inactivation,1
CCJ25600|FEATURES|argannot|aminoglycoside|APH(9)-Ib|antibiotic_inactivation|0,aminoglycoside,APH(9)-Ib,antibiotic_inactivation,0
AKP24019.1|FEATURES|argannot|aminoglycoside|aph(3')-Ic|antibiotic_inactivation|1,aminoglycoside,aph(3')-Ic,antibiotic_inactivation,1
AKP24021.1|FEATURES|argannot|aminoglycoside|aph(3'')-Ib|antibiotic_inactivation|1,aminoglycoside,aph(3'')-Ib,antibiotic_inactivation,1
AKP24022.1|FEATURES|argannot|aminoglycoside|APH(6)-Id|antibiotic_inactivation|1,aminoglycoside,APH(6)-Id,antibiotic_inactivation,1
BAJ42218.1|FEATURES|argannot|beta_lactam|CMY-34|antibiotic_inactivation|0,beta_lactam,CMY-34,antibiotic_inactivation,0
AFC91828|FEATURES|argannot|beta_lactam|pbp1a|antibiotic_target_alteration|0,beta_lactam,pbp1a,antibiotic_target_alteration,0
AAF04736|FEATURES|argannot|beta_lactam|pbp1b|antibiotic_target_alteration|0,beta_lactam,pbp1b,antibiotic_target_alteration,0
AFG41385|FEATURES|argannot|beta_lactam|mrdA|antibiotic_target_replacement|0,beta_lactam,mrdA,antibiotic_target_replacement,0
CBJ02047.1|FEATURES|argannot|beta_lactam|ampC|antibiotic_inactivation|0,beta_lactam,ampC,antibiotic_inactivation,0
AFH19307|FEATURES|argannot|beta_lactam|BL1_ec|antibiotic_inactivation|1,beta_lactam,BL1_ec,antibiotic_inactivation,1
AAK14791|FEATURES|argannot|beta_lactam|LCR-1|antibiotic_inactivation|1,beta_lactam,LCR-1,antibiotic_inactivation,1
